ID,Departamento,Categoria_Planta,Tipo_Planta,Temperatura_C,Humedad_Relativa_pct,Horas_Luz_Solar,pH_Suelo,Tipo_Suelo,Fertilidad_Suelo,Crecimiento_cm_semana,Cond_Temperatura,Cond_Humedad,Cond_Luz_Solar,Cond_pH,Cond_Suelo,Cond_Fertilidad,Condiciones_Optimas_Total,Estado_Crecimiento
313,Magdalena,Cultivo Agrícola,Papa,6.6,83.2,10.0,5.48,Franco,Media,59.17,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Excelente
314,Meta,Hortaliza,Pimentón,12.4,79.1,6.1,7.49,Franco,Alta,11.3,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
315,Córdoba,Cultivo Agrícola,Sorgo,30.6,83.0,5.5,6.51,Arenoso,Media,28.71,Óptima,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
316,Córdoba,Planta Tropical,Caña de azúcar,21.7,93.4,12.3,7.03,Limoso,Media,35.28,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Regular
317,Boyacá,Cultivo Agrícola,Trigo,7.7,47.2,13.4,7.63,Arenoso,Media,16.78,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,2,Malo
318,Huila,Planta Tropical,Palma,22.0,73.5,13.4,5.29,Limoso,Media,20.1,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
319,Tolima,Cultivo Agrícola,Maíz,20.9,58.8,10.2,5.83,Arcilloso,Baja,32.47,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Baja,3,Regular
320,Antioquia,Hortaliza,Zanahoria,11.6,79.0,10.3,6.5,Limoso,Baja,45.22,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Baja,3,Regular
321,Cesar,Planta Tropical,Plátano,37.6,62.7,8.7,5.45,Arcilloso,Baja,4.89,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,No óptimo,Baja,1,Malo
322,Antioquia,Hortaliza,Pepino,21.6,64.9,7.4,5.51,Franco,Alta,33.0,Óptima,Óptima,Óptima,Óptima,Óptima,Óptima,6,Excelente
323,Huila,Planta Tropical,Yuca,33.2,42.9,10.4,5.02,Limoso,Media,14.06,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Óptima,5,Excelente
324,Huila,Cultivo Agrícola,Arroz,22.7,55.7,11.7,5.13,Arcilloso,Media,21.45,Óptima,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,3,Bueno
325,Bolívar,Cultivo Agrícola,Frijol,17.5,35.1,5.6,5.79,Franco,Baja,1.5,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Baja,1,Malo
326,Sucre,Cultivo Agrícola,Maíz,14.4,67.1,6.3,6.13,Franco,Baja,58.08,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Baja,4,Bueno
327,Valle del Cauca,Planta Tropical,Yuca,34.5,46.8,11.0,5.99,Arenoso,Media,51.84,Óptima,Fuera de rango,Óptima,Óptima,No óptimo,Óptima,4,Bueno
328,Boyacá,Planta Tropical,Plátano,26.8,99.9,6.1,6.37,Franco,Baja,18.02,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Baja,4,Bueno
329,Nariño,Planta Tropical,Cacao,20.0,94.5,7.9,4.54,Franco,Baja,2.95,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Baja,1,Malo
330,Bolívar,Cultivo Agrícola,Maíz,30.1,39.5,12.6,7.1,Arenoso,Media,11.82,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Óptima,2,Malo
331,Cundinamarca,Hortaliza,Lechuga,14.7,60.7,5.0,7.48,Arenoso,Alta,35.87,Óptima,Óptima,Óptima,Fuera de rango,No óptimo,Óptima,4,Bueno
332,Meta,Hortaliza,Pepino,33.0,90.8,12.7,5.09,Arenoso,Media,16.99,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Óptima,1,Malo
333,Bolívar,Cultivo Agrícola,Sorgo,27.8,51.6,10.8,7.81,Limoso,Media,9.46,Óptima,Óptima,Óptima,Fuera de rango,Óptima,Óptima,5,Excelente
334,Tolima,Cultivo Agrícola,Frijol,25.0,55.4,8.2,5.57,Limoso,Baja,37.56,Óptima,Óptima,Óptima,Fuera de rango,Óptima,Baja,4,Regular
335,Cauca,Cultivo Agrícola,Sorgo,33.1,40.6,6.4,5.48,Franco-Arcilloso,Alta,53.65,Óptima,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,4,Bueno
336,Nariño,Cultivo Agrícola,Papa,21.7,45.4,12.3,5.5,Arcilloso,Media,24.55,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,2,Malo
337,Magdalena,Hortaliza,Tomate,18.8,85.7,13.6,5.98,Arcilloso,Media,26.39,Óptima,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
338,Valle del Cauca,Cultivo Agrícola,Papa,11.7,71.1,11.2,6.69,Limoso,Alta,26.57,Óptima,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,4,Bueno
339,Córdoba,Planta Tropical,Plátano,21.2,86.9,5.6,6.73,Franco-Arcilloso,Baja,37.01,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Baja,3,Regular
340,Cauca,Cultivo Agrícola,Maíz,22.3,57.8,10.6,7.2,Arcilloso,Media,32.09,Óptima,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,3,Regular
341,Cesar,Cultivo Agrícola,Arroz,29.0,82.3,5.2,4.64,Arenoso,Media,36.74,Óptima,Óptima,Óptima,Fuera de rango,No óptimo,Óptima,4,Bueno
342,Antioquia,Hortaliza,Zanahoria,25.6,83.6,9.4,6.03,Arcilloso,Baja,7.0,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Baja,1,Malo
343,Meta,Hortaliza,Tomate,31.2,71.6,9.8,5.35,Franco,Media,40.07,Fuera de rango,Óptima,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
344,Cesar,Planta Tropical,Cacao,18.3,89.4,7.4,6.82,Franco-Arcilloso,Alta,47.15,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
345,Sucre,Cultivo Agrícola,Papa,16.3,76.4,10.2,4.98,Franco,Alta,68.75,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Excelente
346,Antioquia,Hortaliza,Cebolla,11.7,41.4,7.6,6.83,Franco-Arcilloso,Baja,21.52,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Baja,3,Regular
347,Antioquia,Hortaliza,Zanahoria,19.3,43.8,7.1,7.01,Arenoso,Media,48.17,Óptima,Fuera de rango,Óptima,Fuera de rango,No óptimo,Óptima,3,Regular
348,Meta,Hortaliza,Pepino,15.6,63.8,12.2,6.08,Franco-Arcilloso,Media,24.31,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Regular
349,Santander,Cultivo Agrícola,Papa,11.7,63.6,4.6,5.3,Arenoso,Media,7.94,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
350,Bolívar,Planta Tropical,Palma,35.5,92.9,8.4,5.9,Arcilloso,Alta,7.75,Fuera de rango,Fuera de rango,Óptima,Óptima,No óptimo,Óptima,3,Regular
351,Valle del Cauca,Cultivo Agrícola,Frijol,28.9,64.2,11.0,7.38,Arcilloso,Alta,39.16,Fuera de rango,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
352,Magdalena,Planta Tropical,Cacao,29.2,70.6,5.1,4.98,Arenoso,Media,61.52,Óptima,Óptima,Óptima,Fuera de rango,No óptimo,Óptima,4,Bueno
353,Córdoba,Cultivo Agrícola,Trigo,19.0,71.7,7.8,6.54,Arenoso,Baja,34.29,Óptima,Óptima,Óptima,Óptima,No óptimo,Baja,4,Regular
354,Antioquia,Cultivo Agrícola,Arroz,26.6,95.9,7.6,4.97,Franco,Media,27.94,Óptima,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
355,Cesar,Hortaliza,Pimentón,33.1,61.6,9.9,6.83,Arenoso,Alta,51.45,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Óptima,4,Bueno
356,Tolima,Hortaliza,Lechuga,10.8,64.8,5.1,6.82,Limoso,Media,18.55,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Bueno
357,Valle del Cauca,Cultivo Agrícola,Trigo,23.9,38.3,7.0,6.66,Franco-Arcilloso,Alta,67.64,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Óptima,5,Excelente
358,Meta,Hortaliza,Cebolla,14.4,79.9,13.0,6.31,Franco-Arcilloso,Media,55.76,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
359,Santander,Cultivo Agrícola,Arroz,34.7,91.6,9.4,6.92,Arenoso,Alta,22.21,Óptima,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,3,Bueno
360,Cauca,Hortaliza,Tomate,14.9,41.1,8.2,7.35,Arenoso,Baja,16.38,Fuera de rango,Fuera de rango,Óptima,Óptima,No óptimo,Baja,2,Malo
361,Bolívar,Cultivo Agrícola,Papa,4.3,45.9,12.2,6.21,Limoso,Baja,27.31,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Baja,2,Malo
362,Magdalena,Cultivo Agrícola,Trigo,26.7,62.3,10.2,7.98,Arenoso,Media,10.54,Fuera de rango,Óptima,Óptima,Fuera de rango,No óptimo,Óptima,3,Regular
363,Nariño,Hortaliza,Cebolla,20.7,81.4,13.4,6.35,Franco-Arcilloso,Media,49.32,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
364,Santander,Hortaliza,Lechuga,7.2,57.7,8.4,6.86,Arcilloso,Baja,8.57,Fuera de rango,Óptima,Fuera de rango,Óptima,No óptimo,Baja,2,Malo
365,Tolima,Cultivo Agrícola,Trigo,7.3,65.4,13.8,5.67,Arenoso,Alta,17.33,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,2,Malo
366,Santander,Hortaliza,Pimentón,26.7,81.9,6.5,5.55,Franco,Media,24.18,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
367,Nariño,Planta Tropical,Café,26.3,93.2,6.3,5.72,Franco-Arcilloso,Baja,8.58,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Baja,3,Regular
368,Boyacá,Planta Tropical,Palma,30.4,71.0,5.5,4.1,Arcilloso,Baja,31.85,Óptima,Óptima,Fuera de rango,Fuera de rango,No óptimo,Baja,2,Malo
369,Córdoba,Hortaliza,Cebolla,22.9,64.8,9.5,7.94,Arenoso,Alta,41.17,Óptima,Óptima,Óptima,Fuera de rango,No óptimo,Óptima,4,Bueno
370,Cundinamarca,Planta Tropical,Café,28.9,84.9,3.0,5.37,Franco-Arcilloso,Alta,39.94,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
371,Santander,Planta Tropical,Yuca,39.4,39.7,8.5,4.71,Limoso,Baja,4.15,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,Óptima,Baja,2,Malo
372,Córdoba,Hortaliza,Zanahoria,12.2,88.7,10.1,7.42,Limoso,Baja,4.06,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Baja,1,Malo
373,Boyacá,Planta Tropical,Café,15.2,50.9,8.6,5.41,Limoso,Media,11.65,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Regular
374,Cesar,Cultivo Agrícola,Sorgo,37.9,34.3,5.7,6.45,Arenoso,Media,6.29,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,2,Malo
375,Cundinamarca,Cultivo Agrícola,Sorgo,36.0,43.2,7.8,5.01,Limoso,Media,28.55,Fuera de rango,Óptima,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
376,Córdoba,Planta Tropical,Yuca,23.0,55.0,6.7,5.54,Arcilloso,Media,41.95,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
377,Magdalena,Planta Tropical,Yuca,23.8,64.6,12.6,7.47,Franco,Alta,46.02,Óptima,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,4,Bueno
378,Tolima,Planta Tropical,Caña de azúcar,28.1,91.1,8.3,7.58,Arcilloso,Baja,11.53,Óptima,Fuera de rango,Óptima,Fuera de rango,No óptimo,Baja,2,Malo
379,Cesar,Planta Tropical,Café,14.7,92.8,3.4,5.92,Franco,Media,23.09,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Regular
380,Meta,Hortaliza,Tomate,26.6,47.1,10.1,5.56,Arenoso,Baja,22.95,Óptima,Fuera de rango,Óptima,Óptima,No óptimo,Baja,3,Regular
381,Valle del Cauca,Hortaliza,Cebolla,13.6,81.4,13.7,6.93,Franco,Alta,41.39,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
382,Bolívar,Cultivo Agrícola,Trigo,10.2,67.0,7.0,6.05,Arcilloso,Media,19.07,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Óptima,4,Bueno
383,Cundinamarca,Hortaliza,Tomate,25.7,70.0,5.5,6.13,Franco,Baja,19.56,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Baja,4,Regular
384,Meta,Planta Tropical,Café,28.5,51.8,4.3,5.02,Arcilloso,Alta,24.43,Fuera de rango,Fuera de rango,Óptima,Óptima,No óptimo,Óptima,3,Regular
385,Meta,Hortaliza,Pepino,31.0,80.1,10.5,6.9,Franco,Media,61.1,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Excelente
386,Sucre,Hortaliza,Tomate,26.8,78.1,5.4,6.94,Arenoso,Media,35.6,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
387,Bolívar,Planta Tropical,Caña de azúcar,28.5,47.8,5.3,6.65,Limoso,Alta,8.01,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Regular
388,Córdoba,Cultivo Agrícola,Maíz,32.6,85.3,5.7,7.31,Limoso,Media,8.19,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,2,Malo
389,Tolima,Planta Tropical,Palma,29.9,84.3,6.9,5.67,Franco-Arcilloso,Media,29.11,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Excelente
390,Nariño,Hortaliza,Tomate,30.2,66.2,12.0,5.7,Arenoso,Media,61.25,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Óptima,4,Bueno
391,Tolima,Planta Tropical,Café,28.7,61.9,6.9,6.2,Limoso,Alta,25.72,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Óptima,4,Bueno
392,Cauca,Hortaliza,Pepino,20.2,93.2,5.1,6.79,Franco,Media,73.03,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Excelente
393,Córdoba,Cultivo Agrícola,Papa,7.1,60.7,11.6,4.54,Franco,Alta,12.82,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
394,Antioquia,Planta Tropical,Plátano,22.8,88.4,6.5,5.85,Franco-Arcilloso,Media,22.02,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Excelente
395,Santander,Planta Tropical,Yuca,38.6,70.6,7.5,5.03,Franco-Arcilloso,Baja,30.23,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Baja,4,Bueno
396,Antioquia,Cultivo Agrícola,Arroz,37.4,71.1,9.8,5.24,Franco,Media,14.85,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Regular
397,Magdalena,Hortaliza,Pepino,32.1,53.7,9.4,5.29,Franco-Arcilloso,Media,31.8,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,3,Regular
398,Cauca,Cultivo Agrícola,Trigo,14.5,32.5,7.0,5.54,Arenoso,Alta,36.84,Óptima,Fuera de rango,Óptima,Fuera de rango,No óptimo,Óptima,3,Regular
399,Santander,Planta Tropical,Café,23.5,90.4,5.2,5.32,Franco,Baja,37.02,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Baja,4,Bueno
400,Cauca,Cultivo Agrícola,Trigo,8.8,83.9,6.9,5.67,Arcilloso,Alta,10.23,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Óptima,1,Malo
401,Cauca,Planta Tropical,Palma,29.2,59.6,6.6,5.7,Franco-Arcilloso,Baja,18.75,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Baja,3,Regular
402,Huila,Planta Tropical,Caña de azúcar,29.1,57.0,13.9,6.72,Franco,Media,56.76,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
403,Magdalena,Hortaliza,Zanahoria,27.1,63.9,6.8,5.91,Franco,Media,32.88,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Excelente
404,Cundinamarca,Hortaliza,Tomate,30.5,51.1,8.4,7.43,Franco-Arcilloso,Media,20.81,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Óptima,4,Bueno
405,Nariño,Cultivo Agrícola,Papa,4.4,79.0,4.7,5.44,Arcilloso,Baja,16.69,Fuera de rango,Óptima,Fuera de rango,Óptima,No óptimo,Baja,2,Malo
406,Valle del Cauca,Hortaliza,Pimentón,33.4,68.1,11.4,5.67,Limoso,Baja,20.41,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,Óptima,Baja,2,Malo
407,Córdoba,Hortaliza,Zanahoria,23.6,43.8,6.8,6.38,Arcilloso,Alta,51.5,Óptima,Fuera de rango,Óptima,Óptima,No óptimo,Óptima,4,Bueno
408,Bolívar,Hortaliza,Pimentón,14.3,57.7,8.7,7.19,Franco-Arcilloso,Baja,18.34,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Baja,4,Regular
409,Antioquia,Planta Tropical,Café,14.0,87.2,2.3,5.55,Limoso,Media,20.54,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Regular
410,Magdalena,Planta Tropical,Palma,23.5,69.1,12.5,4.15,Limoso,Alta,12.46,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,2,Malo
411,Antioquia,Hortaliza,Cebolla,16.3,72.6,9.8,7.19,Franco-Arcilloso,Media,75.26,Óptima,Óptima,Óptima,Óptima,Óptima,Óptima,6,Excelente
412,Córdoba,Cultivo Agrícola,Sorgo,39.7,39.2,6.0,7.3,Arcilloso,Alta,18.82,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,2,Malo
413,Santander,Planta Tropical,Plátano,24.2,82.9,6.9,5.1,Arenoso,Alta,28.52,Óptima,Óptima,Óptima,Fuera de rango,No óptimo,Óptima,4,Bueno
414,Valle del Cauca,Cultivo Agrícola,Sorgo,28.1,32.9,8.4,6.86,Franco-Arcilloso,Alta,71.11,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Óptima,5,Bueno
415,Bolívar,Planta Tropical,Caña de azúcar,32.5,82.8,6.1,7.82,Arcilloso,Media,41.15,Óptima,Óptima,Fuera de rango,Fuera de rango,No óptimo,Óptima,3,Regular
416,Cesar,Cultivo Agrícola,Arroz,20.3,73.8,9.8,6.74,Franco,Media,6.09,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Malo
417,Nariño,Planta Tropical,Plátano,19.0,66.4,7.0,5.19,Arenoso,Baja,4.97,Fuera de rango,Fuera de rango,Óptima,Fuera de rango,No óptimo,Baja,1,Malo
418,Valle del Cauca,Cultivo Agrícola,Arroz,39.2,73.9,3.5,4.6,Franco,Baja,4.3,Fuera de rango,Óptima,Fuera de rango,Fuera de rango,Óptima,Baja,2,Malo
419,Boyacá,Hortaliza,Cebolla,7.3,74.4,7.8,5.6,Limoso,Media,21.43,Fuera de rango,Óptima,Óptima,Fuera de rango,Óptima,Óptima,4,Bueno
420,Cesar,Hortaliza,Zanahoria,15.0,85.2,7.0,6.37,Limoso,Media,19.84,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Óptima,5,Excelente
421,Bolívar,Hortaliza,Pepino,19.0,85.9,13.4,5.24,Limoso,Baja,2.92,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Baja,1,Malo
422,Nariño,Cultivo Agrícola,Trigo,23.5,56.6,11.2,6.88,Franco-Arcilloso,Media,55.72,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Bueno
423,Valle del Cauca,Cultivo Agrícola,Sorgo,26.0,49.5,6.1,5.51,Limoso,Media,47.62,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Bueno
424,Boyacá,Cultivo Agrícola,Frijol,31.5,79.8,6.7,6.07,Arenoso,Media,34.22,Fuera de rango,Fuera de rango,Óptima,Óptima,No óptimo,Óptima,3,Regular
425,Magdalena,Planta Tropical,Plátano,28.9,64.2,4.4,6.64,Arenoso,Media,25.02,Óptima,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
426,Bolívar,Cultivo Agrícola,Frijol,33.5,74.7,9.9,6.94,Franco-Arcilloso,Media,38.19,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Óptima,5,Excelente
427,Córdoba,Cultivo Agrícola,Arroz,26.9,75.1,8.6,6.16,Franco-Arcilloso,Media,72.36,Óptima,Óptima,Óptima,Óptima,Óptima,Óptima,6,Excelente
428,Nariño,Hortaliza,Zanahoria,27.0,42.0,11.1,7.48,Franco,Media,29.21,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,2,Regular
429,Meta,Cultivo Agrícola,Arroz,31.1,78.0,3.5,5.22,Arcilloso,Media,25.41,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
430,Santander,Planta Tropical,Plátano,31.0,70.0,9.9,5.53,Franco,Alta,15.83,Óptima,Fuera de rango,Óptima,Óptima,Óptima,Óptima,5,Excelente
431,Magdalena,Hortaliza,Cebolla,14.9,58.9,13.4,6.33,Limoso,Baja,8.02,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Baja,4,Bueno
432,Meta,Cultivo Agrícola,Arroz,26.7,79.7,4.6,5.24,Franco,Alta,60.63,Óptima,Óptima,Fuera de rango,Óptima,Óptima,Óptima,5,Excelente
433,Cesar,Cultivo Agrícola,Trigo,19.8,61.0,9.5,5.67,Franco-Arcilloso,Media,18.88,Óptima,Óptima,Óptima,Fuera de rango,Óptima,Óptima,5,Excelente
434,Cundinamarca,Cultivo Agrícola,Sorgo,34.4,42.6,9.7,7.09,Limoso,Media,77.0,Óptima,Óptima,Óptima,Óptima,Óptima,Óptima,6,Excelente
435,Córdoba,Hortaliza,Pimentón,24.8,52.7,11.8,5.7,Franco-Arcilloso,Media,6.57,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,3,Regular
436,Huila,Planta Tropical,Caña de azúcar,24.1,81.6,10.0,6.03,Limoso,Alta,78.2,Óptima,Óptima,Óptima,Óptima,Óptima,Óptima,6,Excelente
437,Bolívar,Cultivo Agrícola,Arroz,24.0,95.2,8.8,5.22,Arenoso,Baja,11.69,Óptima,Fuera de rango,Óptima,Óptima,No óptimo,Baja,3,Regular
438,Antioquia,Planta Tropical,Café,28.0,87.1,9.2,5.88,Franco,Media,22.59,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Malo
439,Magdalena,Planta Tropical,Café,12.8,64.2,2.8,4.94,Arenoso,Media,2.41,Fuera de rango,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Óptima,1,Malo
440,Cauca,Cultivo Agrícola,Maíz,23.7,72.0,10.1,5.79,Arenoso,Media,13.03,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
441,Meta,Planta Tropical,Caña de azúcar,33.3,83.5,11.8,7.62,Arenoso,Alta,50.51,Óptima,Óptima,Óptima,Fuera de rango,No óptimo,Óptima,4,Bueno
442,Valle del Cauca,Hortaliza,Zanahoria,22.6,82.5,5.6,5.31,Arcilloso,Media,19.27,Óptima,Fuera de rango,Fuera de rango,Fuera de rango,No óptimo,Óptima,2,Malo
443,Bolívar,Planta Tropical,Palma,23.8,89.7,10.9,6.5,Arenoso,Media,35.75,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Óptima,4,Bueno
444,Bolívar,Cultivo Agrícola,Sorgo,23.8,43.5,10.5,7.69,Arenoso,Baja,12.64,Fuera de rango,Óptima,Óptima,Fuera de rango,No óptimo,Baja,2,Malo
445,Nariño,Planta Tropical,Palma,37.1,99.8,11.3,6.31,Limoso,Media,64.65,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Óptima,4,Bueno
446,Tolima,Hortaliza,Tomate,28.9,75.1,8.0,7.03,Arenoso,Alta,31.5,Fuera de rango,Óptima,Óptima,Óptima,No óptimo,Óptima,4,Bueno
447,Magdalena,Planta Tropical,Palma,25.8,79.8,12.1,4.95,Arenoso,Alta,10.62,Óptima,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,4,Bueno
448,Bolívar,Hortaliza,Lechuga,9.6,67.9,11.0,6.4,Limoso,Media,34.49,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
449,Huila,Cultivo Agrícola,Sorgo,26.9,64.6,9.0,6.94,Franco,Alta,24.01,Óptima,Óptima,Óptima,Óptima,Óptima,Óptima,6,Excelente
450,Antioquia,Planta Tropical,Cacao,26.5,60.0,8.9,5.39,Limoso,Media,8.42,Óptima,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
451,Córdoba,Cultivo Agrícola,Frijol,16.6,37.9,9.0,6.99,Franco,Baja,30.14,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,Baja,3,Regular
452,Santander,Planta Tropical,Palma,29.9,95.9,8.6,4.89,Arenoso,Baja,18.52,Óptima,Fuera de rango,Óptima,Óptima,No óptimo,Baja,3,Regular
453,Huila,Cultivo Agrícola,Trigo,7.9,81.7,11.8,6.97,Limoso,Baja,35.83,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Baja,2,Regular
454,Meta,Hortaliza,Pimentón,18.8,49.8,11.1,6.31,Arcilloso,Alta,19.76,Óptima,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
455,Magdalena,Planta Tropical,Caña de azúcar,17.0,67.3,9.6,6.74,Franco-Arcilloso,Baja,64.48,Fuera de rango,Óptima,Óptima,Óptima,Óptima,Baja,4,Bueno
456,Boyacá,Planta Tropical,Cacao,35.7,58.9,8.5,5.34,Franco-Arcilloso,Media,5.9,Fuera de rango,Fuera de rango,Fuera de rango,Óptima,Óptima,Óptima,3,Regular
457,Cauca,Planta Tropical,Caña de azúcar,17.4,78.0,13.1,6.15,Franco-Arcilloso,Alta,26.25,Fuera de rango,Óptima,Fuera de rango,Óptima,Óptima,Óptima,4,Bueno
458,Cesar,Cultivo Agrícola,Arroz,36.6,83.4,10.1,6.0,Arenoso,Alta,13.27,Fuera de rango,Óptima,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
459,Santander,Hortaliza,Pepino,26.6,54.2,5.5,6.51,Arcilloso,Media,8.89,Óptima,Fuera de rango,Fuera de rango,Óptima,No óptimo,Óptima,3,Regular
